P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P09892736A0343|148 150|KSR
P07789342A1352|148 150|TSH
P07596287A0183|149 192|ATP-binding cassette membrane transport proteins
P08093616T0000|152 182|proliferating cell nuclear antigen
P07428037A0989|145 165|small ribosomal subunit
P08972182A0527|151 171|synthetic tetrapeptide
P07877619A1284|150 168|RA-responsive region
P03004739A0753|148 164|CAT binding protein
P10407184A0520|151 166|human (h) promoter
P07704040A0000|155 169|azo dye reductase
P09398332A0732|150 164|SH2 binding motif
P08891345A0684|151 165|beta-globin mRNA
P07745696A0932|145 158|SalI O fragments
P07582592A0545|151 164|botulinum toxin
P08538702A0214|149 161|15-kDa antigen
P09382924A0131|155 167|20S proteasome
P11179687A0280|151 162|receptor PTPs
P04071063A0863|150 161|antithrombin
P09540062A0755|149 158|H4 promoter
P06151942A0235|152 160|gamma-GTP
P10366503A0812|151 159|terminase
P08090746A1288|154 159|E4 gene
P11408604A1440|149 154|ERK1/2
P07744846A1006|150 154|Bcl-2
P09234720A1015|154 158|v-Src
P09130700A0676|149 153|SPC98
P08576042A0765|147 150|dnaK
P11029704A0378|152 155|ABI3
P01547957A1083|150 153|CYP2
P08969495A0256|149 152|nrdF
P10613874A0663|143 146|GlnR
P10749849A0000|151 153|p21
P09858577A1186|149 151|HOG
P10526670A1828|154 156|Ras
P08246984A0923|150 152|p85
P09677410A1059|149 151|HBx
P10918599A0071|146 147|Rb
P08624445A0257|149 150|Ac
P07964624A0491|145 145|r
P11879108A0719|150 179|human immunodeficiency virus (HIV
P07537851A0000|153 176|tumor necrosis factor alpha
P08208540A0417|149 168|DNA-binding rel domain
P11371417A0744|150 170|interleukin (IL)-1beta
P09115395A0478|155 174|Ribosomal protein L18A
P08524314A0216|148 166|DNA-binding proteins
P10598101A0754|150 166|22 kDa zein promoter
P08977401A0227|144 160|RI alpha pseudogene
P09420239A1937|149 160|TATA box sites
P10722737A1726|151 161|LTC(4)S gene
P02164637A0515|150 160|cdc25 mutant
P07831310A0000|155 164|TEV mutants
P10403839A0140|152 161|mouse BMAL1
P10943891A1062|148 157|active site
P11023832A1038|152 160|MAP kinase
P09409774A0214|148 156|VCSB1 gene
P08219227A0830|147 154|AP-1 site
P09058323A1287|148 153|alpha 3
P07538818A0197|154 160|hG-CSFR
P07959760A0763|149 154|c-ets 1
P08196616A1112|148 153|ZAP-70
P03818467A0180|150 155|GSH-Px
P08951815A0465|148 152|Gcn4p
P10468585A0980|154 158|hsp70
P10567430A0785|153 157|12/13
P08647264T0000|155 158|Yama
P11282395A0530|147 150|Nbs1
P09566918A1115|151 154|PRDI
P08432137A0000|152 155|PLYS
P09135149A0000|153 156|Pyp3
P10469174A0678|151 154|MBF1
P03346210A0000|157 159|EGF
P08075070A1632|151 153|HTH
P10358075A0984|150 152|PKB
P10704499A0682|154 156|PLC
P03953361A0000|153 154|CK
P01316680A0643|152 152|H
P07568118A1267|152 186|growth factor tyrosine kinase receptors
P10559364A0846|152 183|single-stranded DNA binding protein
P10212278A0387|157 186|mitogen-activated protein kinase
P08394255A0000|149 177|rat luteinizing hormone receptor
P10521443A0486|149 178|dominant-negative IkappaB-alpha
P02648646A0932|150 173|platelet activating factor
P08986214A0000|153 174|hepatocyte growth factor
P08396713A0305|155 171|Ah receptor protein
P08196624A0593|152 166|type II receptors
P02233729A1065|148 162|Dhfr transcripts
P08902847A1946|147 159|hCG alpha 1 beta
P07616569A0168|150 163|ATPase subunits
P01547775A1024|150 162|PLRV replicase
P10899128A0661|150 162|mammalian gene
P06501086A0165|156 167|serum protein
P08468475A1280|155 164|IL-2R alpha
P01326329A0703|146 155|CCAAT boxes
P07592485A0734|148 156|ure2 delta
P09822602A1172|153 162|HIF-1alpha
P10882163A1077|154 162|aromatase
P01348508A0313|153 160|TGM1 gene
P07797583A0222|151 158|PCNA gene
P09420252A0092|150 156|env gene
P11238916A0838|154 159|PTP phi
P08660892A1044|151 156|Mef-2C
P08665853A0228|152 157|ErbB-1
P08119958A0273|149 153|PKC mu
P11238447A0524|154 159|nup153
P10866689A0295|153 157|tal-1
P02204029A0184|145 149|N-ras
P07500386A0870|154 157|IRA1
P08876167A0717|151 154|gp91
P10749145T0000|156 159|ERK1
P08760889A0531|149 152|H2A1
P11560992A0651|152 155|MKK4
P02269426A0428|149 151|Tat
P08386318A1102|154 156|Ras
P08937981A0840|153 155|p54
P08892755A0981|150 152|CAT
P10602507A0652|148 150|p21
P11559789A0314|156 158|SF2
P09368057A1083|152 154|SRF
P09305755A0540|153 153|5
P01358758A0000|149 189|beta-cell-specific transcriptional enhancer
P02941237A0160|152 188|alkaline phosphatase and pyrophosphatase
P08626785A0674|156 191|mouse tissue transglutaminase promoters
P10671519A0641|152 180|lamina-associated polypeptide 2
P07628456A0000|150 172|Escherichia coli RNase III
P08844448A0000|152 173|gastrointestinal lipase
P10359792A0610|153 171|histone deacetylases
P09011745T0000|162 179|mammalian receptors
P01918073A0150|153 166|protein kinase A
P01863887A0174|157 170|erythropoietin
P01372802A1481|155 165|C3 fragments
P09148903A1715|153 164|IkappaBalpha
P10564280A0140|155 163|68-kDa Src
P07916003A0688|147 155|human gene
P10197985A0145|152 160|U12 snRNPs
P11310937A0548|149 158|fibrinogen
P02555177A0488|150 157|COX1 mRNA
P08776735A0000|152 160|rLHR-t653
P10233147A0218|158 166|cAMP/PKA)
P07483276A0139|151 155|HSV-1
P09855111A0905|152 156|SREBP
P10747053A1102|152 156|TAF17
P10593939A0747|152 156|SRZ21
P01652755A1492|155 158|IL-6
P08417331A0745|148 151|Tup1
P10490843A0159|153 156|PLZF
P09533030T0000|154 157|SDHC
P01774063A0161|152 155|Fshb
P10890911A0470|150 153|twin
P08769566A0000|154 156|ZD1
P03023859A0000|150 152|bcr
P11020375A0134|147 148|AF
P09420219A0284|155 195|glucocorticoid-inducible enhancer-promoter
P11158324A1073|155 191|microsomal triglyceride transfer protein
P07958446A0000|157 182|winged helix DNA binding motif
P09716183A1036|151 173|TBP amino-terminal domain
P11429702A0917|157 178|Y373C and K650E receptors
P07862533A0000|153 173|early growth response-1
P01735721A0185|151 169|B. subtilis TyrTS gene
P08288633A0144|153 172|COOH-terminal segment
P06527872T0000|152 168|an acid phosphatase
P07636648A1229|153 169|pertussis antigens
P11373277A0812|156 172|AP-2alpha promoter
P10455183A0930|155 170|Xenopus tRNA(Sec)
P09111314A1243|157 171|p15INK4B protein
P02518691A0251|155 168|kappa B enhancer
P10543727A0282|155 168|kappaB1 element
P08614403A0989|152 164|8-Br-cAMP and 2
P02480959A0470|148 160|gonadotropins
P07539119A0291|155 165|G128R mutant
P10549354A1782|154 165|beta-catenin
P10373507A0680|159 169|SRF promoter
P10734312A0503|153 162|C-terminus
P11031252A0646|150 157|PKC delta
P08769132A0000|152 157|E. coli
P11014213A1019|157 162|GAL-ER
P07981246A0112|158 162|c-fos
P11003641A0811|150 154|Fcp1p
P07579695A0336|159 163|CBF3B
P10965905A1618|154 158|IRS-1
P02409297A0984|155 159|HBsAg
P01985920A0156|151 154|SCP2
P08810278A0682|154 157|CRKL
P01378052A0594|153 156|NtrC
P10749849A0000|155 158|WAF1
P09393717A1517|154 157|mutC
P07576307A1654|155 157|ENK
P10207087A0956|155 157|ETO
P09633630A0740|153 155|v/v
P11155096A0222|155 157|TSH
P08631797A0982|154 156|EGF
P09132011A0298|155 157|cdc
P11538437A0568|150 151|N2
P01524549A0241|152 153|GH
P03572706A0329|155 155|F
P08533472A0777|157 194|human interleukin enhancer-binding factor
P02083253A1512|152 185|T-cell-specific transcription factor
P09278441A1160|152 177|Drosophila melanogaster gene
P03200844A1211|154 177|nuclear pore glycoproteins
P09837907A0857|158 178|c-Jun N-terminal kinase
P10521509A0000|155 174|mammalian RGS proteins
P02732341A0000|156 176|chloroacetate esterase
P07865787A1086|156 173|wheat histone H3 gene
P09914500A0000|155 173|tumor necrosis factor
P08253387A0801|157 172|hLEF-binding site
P01968224A0119|150 163|Drosophila PCNA
P10702253A0357|156 169|HIF-1alpha gene
P09990060A0937|154 166|IL-16 promoter
P08626493A1468|153 165|PEPCK promoter
P09884232A0286|151 163|integrase gene
P02833021A1185|154 165|late promoter
P07559488A0440|153 162|wild type ER
P09880029A0703|154 164|Rep proteins
P10074903A0915|153 162|p21 protein
P00055040A0000|158 167|FR-antigen
P08825636T0000|153 161|NF-kappa B
P01657969A1420|157 166|calmodulin
P10915780A1063|154 161|cyclin D1
P09556561A0671|151 158|pre-rRNA
P11583621A0301|159 165|hTAF(II
P08706662A1125|154 158|NF-P2
P02473718A0000|158 162|OKT8+
P07537851A0891|156 160|IRF-1
P09305755A0540|155 158|HNF1
P11095248A0423|157 160|gp27
P10601344A1653|153 156|RhoA
P09252406A0511|156 159|SHP2
P07888306A1659|148 151|Ca2+
P10441506A0098|157 159|HR1
P09227799A0254|156 158|SEA
P00453780A0430|155 157|IgA
P10861086A0259|155 157|Csk
P10549912A0136|157 158|V1
P08332495A0408|153 154|DC
P01986360A0000|154 193|mouse (2'-5')oligoadenylate synthetase gene
P09837715A0581|154 185|murine leukemia virus (MLV) SL3-3 LTR
P03034570A0943|156 180|human papillomavirus type 18
P09723896A0000|164 188|9-cis retinoic acid receptor
P11102458A0000|156 178|type II regulatory subunit
P08122364A0954|153 175|trans-activating protein
P01536575A1213|152 172|cytochrome P450IA1 gene
P08106313A1492|151 170|HrpL-responsive genes
P09135149A0000|157 176|tyrosine phosphatases
P10564593A1618|154 172|MXR half-transporter
P08891337A0614|157 175|CRE)-binding protein
P10488087A0340|161 177|SP-A gene sequences
P03537721A0876|156 173|vacuolar hydrolases
P10504332A0701|158 174|wild-type receptor
P08065901A0997|156 167|KRAB-A domain
P09062130A0116|155 164|SH2 domains
P01833637A0531|155 163|HSP82 gene
P08432137A0000|157 164|serum LYS
P10541432A0185|161 167|ERK MAPK
P08863824A0509|153 160|5-HT2C-R
P08182041A1067|152 158|insulin
P09189783A0000|157 163|insulin
P09566918A1115|156 161|PRDIII
P07878029A0721|150 154|CBF-A
P11282395A0530|152 156|Mre11
P09528770A1379|155 159|Msn2p
P10628750A0298|159 162|Rel A
P08415712A1153|154 157|GPRK
P08280925A0261|153 155|IgM
P07933095A0000|157 159|Sp1
P09451003A0894|154 156|CRP
P10704499A0682|158 160|PKC
P08995410A1109|151 153|p35
P02354381A0207|148 148|H
P08756332A0000|153 195|Ral-specific guanine nucleotide exchange factor
P09798068A0290|152 192|rat gamma-aminobutyric acid B (GABAB) receptor
P02022188A0112|156 180|high mobility group proteins
P08861955A0927|154 176|small GTP binding proteins
P02473907A1338|147 167|Fc epsilon R binding site
P03507689A0000|159 181|bacteriophage T7 promoter
P11278521A0849|157 177|lacZ reporter construct
P01542667A0125|156 177|IFN-gamma-encoding gene
P01321337A0318|156 175|mammalian calcineurin
P02165589A0888|153 167|fos oncoproteins
P08838314A0129|158 170|human V1aR gene
P10367646A0569|158 171|serum globulins
P10727515A1202|159 172|pertussis toxin
P07823953A0777|146 160|protein-protein
P09461594A0000|157 166|PLC-gamma2
P10681520A0525|157 166|Gbetagamma
P01627828A0475|156 162|SmN gene
P09234713A0754|157 163|Ddelta3
P10469174A0678|156 162|MBF1CTD
P03721594A0000|162 167|fibrin
P08337841A0612|152 156|G gene
P07797077A0842|156 160|IRF-1
P08530384A0559|157 161|BOB.1
P10760109A1050|150 154|IGF-1
P07951410A0647|154 158|E2F-1
P08386318A1102|158 162|Raf-1
P10574913A1108|164 167|GPCR
P08876167A0717|156 159|phox
P09727046A0000|157 160|LCR)
P09716179A0974|162 165|cdc2
P07504171A0715|156 158|Src
P09736715A0729|164 166|ILK
P10473623A0081|159 161|ARF
P10788320A1034|158 159|U5
P11538437A0568|153 153|A
P09582327A0295|154 185|rat LHbeta gene 5'-flanking sequence
P09566871A0343|155 182|reverse transcriptase proteins
P10542269A0000|156 183|beta-amyloid precursor protein
P08970984A0765|156 179|tumor necrosis factor alpha
P07509449A0000|157 175|Src homology regions 2
P08384309A0000|166 182|DNA binding protein
P09736697A1107|157 168|Janus kinases
P01406656A1075|154 165|oncogenic ras
P09111340A0240|157 168|myc sequences
P10938113A0388|154 164|Vav isoforms
P09199932A1357|158 168|ATM promoter
P11323411A0505|154 164|C-SH2 domain
P02324104A1195|159 168|CeCAT alpha
P11556809A2085|161 170|P450 enzyme
P07509450A0705|155 163|HSV tk gene
P10216161A1530|159 166|E. coli bd
P08551577A0000|154 160|src mRNA
P09556861A1018|157 162|ATP; (2
P08654375A0544|152 156|Oct-2
P10454570A0846|162 166|ATF-2
P01285009A0000|161 164|rCCK
P11241166A0677|155 158|STAT
P11069756A2618|162 165|GPCR
P10721698A1195|156 159|CSTB
P10556028A0292|155 158|BD-2
P09858745A1350|156 159|CatR
P01716292A0000|155 157|DRB
P09445488A0230|154 156|Alu
P10866689A0295|159 161|E12
P10549912A0136|160 161|V4
P10400712A0577|156 157|GE
P02354381A0207|150 150|S
P00264240A1843|152 170|X. laevis oocyte 5S DNA
P11376007A0584|156 175|protein phosphatase 2A
P02123877A1452|156 174|serum response factor
P08367487A1014|155 173|anti-PRP9 antibodies
P02174861A0736|154 168|Fur binding sites
P11416012T0000|162 175|protein kinase a
P10732669A1336|157 170|HD-Zip proteins
P10613874A0663|150 161|GlnA proteins
P08576042A0765|154 164|groE operons
P01448917A0775|155 163|CPSMV RNA 1
P09271397A1596|155 164|buttonhead
P09223479A1193|155 163|BHRF1 gene
P09445488A1169|159 166|gene NEFA
P09169127A0371|155 160|y1 gene
P02318208A0817|158 163|Ad2MLP
P03619249A0428|152 156|HBc Ag
P01774063A0161|157 161|Actcl
P07544357A0808|159 163|CD44v
P09582953A0000|166 170|F.VII
P08188603A0230|159 163|CPS-A
P07519481A1275|156 160|c-kit
P11145566A0000|161 165|HDL-R
P10749849A0000|160 163|Cip1
P10890911A0470|155 158|Xtwn
P10861906A0999|156 159|IME2
P07691837A1359|157 160|NFkB
P09111367A1098|161 163|p53
P10915728A0216|155 157|IFN
P10319327A1237|158 160|E12
P09817373A0000|164 166|NOS
P08226798A1124|157 159|CaM
P11777632A1678|158 159|AF
P09006051A1162|163 198|archaeal and bacterial citrate synthases
P07585559A0000|169 199|smooth muscle alpha-actin promoter
P08709245A1521|157 178|virus-like HDAg particle
P01413984A0737|160 179|plasminogen activator
P09024805A0905b|155 172|beta-globin TATA box
P07739382A0457|159 176|flightless proteins
P08631667A0851|156 172|thymidylate kinase
P08921387A1182|156 171|C-terminal domain
P09098899A0000|160 175|zinc-finger motif
P09395525A0395|162 175|IGF-I promoter 1
P08396261A0388|155 169|adenylyl cyclase
P10490639A0000|162 175|cyclin partners
P10825294A0473|156 167|AML C terminus
P09647240A0000|163 174|Val135 mutant
P08152800A0709|159 169|Ets proteins
P08294429A0153|159 169|hGH promoter
P10648020A0151|162 171|fibrinogen
P09511760A0221|160 168|cHO-1 gene
P08466864A0878|159 167|TGF-beta 1
P00830568A0000|160 165|STG-BI
P07983744A0920|155 159|IE175
P08195216A1022|160 164|GCN4p
P11238447A0524|161 165|nup98
P10778757A0000|157 161|INCW2
P01425921A1286|161 164|V1J1
P03297181A0127|157 160|SR-F
P09049304A1193|161 163|VPF
P01714902A0221|158 160|TCR
P09148935A0805|158 160|FAK
P07888306A1659|153 155|CaM
P03572706A0329|159 159|F
P08152800A0357|154 181|Ets Related Molecule PEA3-like'
P11000521A0588|164 189|insulin receptor substrate-2
P01646157A0414|161 185|human alpha-galactosidase A
P01313846A0850|159 182|carcinoembryonic Ag family
P09003312A0740|161 182|Escherichia coli mutants
P09303437A0875|159 174|p12 basal promoter
P02176822A0000|159 174|glycogen synthase
P01545818A0696|159 172|v-Src SH2 domain
P09872832A1262|161 175|interferon gamma
P02164588A0266|160 173|HN glycoprotein
P08223613A0519|155 167|TSL1 homologue
P07622521A0418|154 160|beta ARK
P10585453A1029|158 163|hGH LCR
P10899142A0000|165 170|DLGR-1
P10523640A0367|164 168|Stat3
P10480937A0000|159 163|Ca(2+
P09447994A0000|161 165|c-fos
P08940132A1120|161 165|CPP32
P09305755A0540|160 163|HNF5
P09422727A0196|161 164|CREB
P07964624A0491|154 157|P191
P10628971A1165|159 162|LUV1
P02949170A0184|161 164|SHBG
P08769566A0000|160 162|ZD2
P09678837A0736|157 159|IgE
P09235618A0000|164 166|IgG
P08598449A0784|159 161|lyn
P07589069A1245|160 162|CD6
P02115121A0000|162 164|KE2
P11730182A0984|160 160|r
P11416012A1982|161 194|rabbit muscle protein kinase inhibitor
P08355680A0824|162 192|glucose 6-phosphate dehydrogenase
P10674395A0262|163 189|cGMP-dependent protein kinase
P08584035A0740|158 177|DNA-protein complexes
P08486276A0419|162 179|chloramphenicol (Cm
P09259052A0568|160 175|Jun family members
P10518956A0137|158 174|hepatic deiodinase
P11181531A0464|162 174|interleukin-1
P10717612A0000|163 175|interleukin-2
P08896804A0000|162 172|BDZ receptor
P11454239A0478|166 176|alpha (alpha
P11266558A1470|157 165|SL RNA gene
P02597549A0964|157 167|prothrombin
P08700531A1420|163 170|cph locus
P10029337A0406|157 162|U x l(-1
P08702936A0168|167 173|CD4 cDNA
P08521414A1384|160 165|E1 beta
P08955402A0288|158 163|HOL1-1
P01716292A0000|159 163|H-2Eb
P06091914A0000|158 162|int-1
P11282395A0530|158 162|Rad50
P07878029A0721|156 160|CBF-C
P08887667A0992|162 166|Cdc28
P07656588A0101|161 164|FUT1
P10866689A0295|163 166|Lmo2
P08995410A0000|158 161|eIF3
P10628971A0824|163 166|VPS1
P07958915A1507|159 162|Ca2+
P09064659A1055|157 160|UPF1
P10498616A0157|161 164|IL-3
P08666404A0311|161 163|PP5
P09540062A0755|160 162|CAT
P09504423A0114|160 162|GST
P10607566A0880|160 162|TCF
P08810278A0682|160 162|BCR
P10767560A0105|159 161|IFN
P10400712A0577|159 160|IG
P03690262A0428|159 160|T1
P01378052A0594|160 189|NifA upstream activator sequences
P10501965A0879|162 185|G-protein coupled receptor
P10757983A0733|156 175|mouse ZBP-89 homologue
P08722011A0103|162 180|mammalian protein L12
P11133830A0174|160 178|proto-oncogene c-Cbl
P08288596A0663|159 176|rGH minimal promoter
P10409699A0292|165 182|mannosidase homolog
P09369450A1358|160 174|protein-protein
P10544089A1208|164 175|HIRES(MP,75)
P11368363A0129|159 167|human HBP1
P09710591A0981|162 170|MAP kinase
P10330159A1258|161 167|Jun-Fos
P08665853A0228|161 166|ErbB-2
P11221845A1713|161 164|mlt 1
P08530384A0559|163 167|OBF.1
P07959760A0763|158 162|Fli-1
P10593939A0747|160 164|SRZ22
P07487811A0000|165 169|PSE-2
P08769132A0000|159 162|MutS
P09620873A1710|162 165|sHSP
P08794339A1162|158 161|CREB
P10542237A0357|164 167|IL-6
P09006010A0527|160 163|RsaA
P09535082A0537|158 161|PrfA
P07983715A0996|160 162|USF
P09727046A0000|162 164|Lam
P10319327A1237|162 164|E47
P09585253A1147|159 160|TF
P11730182A0984|162 162|p
P10943891A1062|159 159|s
P11069756A2618|167 206|heterotrimeric-G-protein-coupled receptor
P08280925A0261|159 179|IgG anti-KLH antibodies
P02116071A0000|160 174|mite specific IgE
P09882334A0822|161 175|N-terminal motif
P01874195A0139|167 180|tyrosine kinase
P08370119A1521|161 174|luciferase cDNA
P09657003T0000|165 178|virus-like RNAs
P08914522A0118|163 175|G beta mutation
P09346935A0927|162 174|RNA polymerase
P07720572A1584|162 173|myoD enhancer
P10744749A0315|161 171|bHLH factors
P09058323A1287|158 167|alpha 5 gene
P08943354A0295|162 171|Jak kinases
P10628750A0298|164 173|NF-kappaB1
P02779752A0000|161 169|5-HT1 site
P09049304A1193|165 172|VEGF gene
P08776735A0000|162 170|rLHR-t631
P08516324A0000|166 172|EWS gene
P10403839A0140|163 168|mBMAL1
P07797077A0842|162 166|IRF-2
P07588240A0000|166 170|CPP32
P09388199A0948|160 163|FadR
P10601344A1653|160 163|Rac1
P09325278A0458|161 164|mta1
P10704499A0682|164 166|MEK
P09490676A0800|164 166|Myb
P11250942A0626|161 163|VDR
P10788320A1034|163 164|U4
P11145955A0189|166 195|mitogen-activated protein kinase
P06407348A0516|163 183|smooth muscle receptors
P09482902A0942|161 181|retinoblastoma protein
P11521191A0000|162 182|retinoblastoma protein
P09151828A0919|159 177|C-terminal region III
P02686749A0000|161 179|beta 2-microglobulin
P02423533A1314|162 178|nerve growth factor
P01326329A0703|157 173|activator protein 2
P11376687A0344|162 176|MTH1 polypeptide
P08254738A0428|161 175|T-antigen kinase
P07605990A1110|162 174|PEBP2 isoforms
P07862092A0302|164 174|pol3-14 sdp1
P01699944A1538|164 173|c-fos genes
P08443341A0384|157 167|myrosinases
P11368363A1103|162 171|rat protein
P11243306A0961|164 173|anti-oxLDL
P09162097A0776|163 172|L-selectin
P10894149T0000|168 176|ERRalpha1
P09618150A0127|160 167|UCP1 mRNA
P09254678A0106|164 170|Gtx mRNA
P01320255A0795|158 164|human L1
P07689154A0168|165 171|uPA mRNA
P07685874A0258|167 173|amylase
P09346935A0459|166 171|pol IIo
P02403926A0307|165 170|trk-2h
P08642313A0770|165 169|Bcl-3
P11179687A0280|164 168|RPTPs
P07796935A0284|164 168|hPPAR
P11280799A1025|166 170|PTHrP
P10454570A0846|168 172|c-Jun
P10574992A0901|163 166|PARP
P09171239A1118|163 166|AF-2
P07863047A0229|162 164|ACE
P09111004A0732|160 162|L12
P07589069A1245|164 166|PB1
P08106369A0000|167 169|V1a
P02647918A0588|161 162|GH
P07770033A0978|163 199|Neurospora crassa copper metallothionein
P08218230A1920|162 194|Xenopus fibrinogen B beta subunit gene
P08625900T0000|169 196|thyrotropin-releasing hormone
P09566918A1115|164 185|ISRE regulatory elements
P11369700A0616|158 179|luciferase reporter gene
P09689047A0253|170 192|Golgi sialyltransferases
P08400240A0166|162 177|gamma-globin mRNA
P09544991A0750|166 181|m-Stat5adelta749
P01630455A0448|156 168|IL-1 beta genes
P08663219A0246|161 171|E-box region
P09045919A1250|162 171|3' enhancer
P08035796A0890|165 174|eIF-2 alpha
P09716179A0974|169 178|cdk2 kinase
P09139694A0789|163 171|CTF1alpha
P01321280A0494|165 171|BPV-1 E6
P10799590A0431|165 171|EBNA-3C
P09528770A1379|163 167|Msn4p
P08361761A0174|166 170|v-Rel
P07951410A0647|161 164|DP-1
P09584194A1305|161 164|HEF1
P08264582A0750|166 169|LIFR
P01774063A0161|163 165|Ltk
P11106428A0635|166 168|GST
P08598449A0784|163 165|fyn
P10617126A1005|162 164|CA1
P08810278A0682|164 166|ABL
P03690262A0428|162 163|T3
P09778197A0415|167 222|beta-hydroxy-beta-methylglutaryl-CoA (coenzyme A) reductase
P07958915A1507|164 197|calmodulin-dependent protein kinases
P03015628A1078|169 192|serum alkaline phosphatase
P08230452A0551|168 188|poliovirus 3CD protease
P10688661A0237|167 186|neuron-specific genes
P10036191A0000|168 186|tissue-specific gene
P10373507A0680|171 188|luciferase reporter
P07522163T0000|165 180|MHC anchor residue
P06319072A0711|162 178|beta-adrenoceptor
P09502627A0705|164 177|creatine kinase
P09139910A0350|166 178|XbaI fragments
P11292839A0531|161 170|TBP) mutant
P01748630A0125|165 173|Myc family
P08428940A1763|162 169|merR mRNA
P10788320A1034|166 173|U6 snRNPs
P11023832A1038|165 173|NF-kappaB
P10850453A0713|165 173|V12Ha-Ras
P08057421A1583|166 173|EBV LMP-1
P08386318A1102|166 171|NF-IL6
P10823837A1213|164 168|Mcd4p
P07595221A0733|166 170|CIITA
P10866689A0295|168 171|Ldb1
P11309389A0273|165 168|GHBP
P10512699T0000|171 174|selA
P08230445A0000|161 163|Gag
P03102289A0786|159 161|hCG
P09121433A0463|166 168|T/A
P11145887A1393|161 163|Tax
P09079902A0713|157 159|Pra
P07038684A1050|165 167|p60
P09582953A0000|173 174|IX
P02403634A0788|161 217|myocyte-specific enhancer-binding nuclear factor 1 binding site
P11012680A1020|165 183|PLCgamma binding site
P08706731A1303|170 188|ginseng ribonuclease
P01285009A0000|169 185|chicken beta-actin
P11133986A0350|170 186|kappaE3'-enhancer
P09238860A0175|159 172|protein kinase A
P09343210A1112|169 182|NF-kappaB sites
P07746397A0233|167 180|thromboplastin
P09421511A0827|167 179|telomerase RNA
P07538818A0197|168 178|mutant cDNAs
P11310937A0548|162 170|TNF-alpha
P08614410A0000|166 172|activin
P09575187A1558|167 172|kappaB
P08195186A0000|169 172|ecoR
P09765261A0000|171 174|CREB
P08637711A1121|166 169|IL-6
P08566754A0783|168 170|ASF
P09040011A1316|169 171|Ras
P08887667A0992|168 170|Clb
P06524761A0596|164 166|T-1
P08083220A0988|161 196|serum response factor-DNA binary complex
P00627129A0944|165 191|alpha-and beta-adrenoceptors
P11127200A1024|168 187|alpha1) collagen I gene
P01765375A0290|163 180|clathrin heavy chain
P09729481A1177|166 182|non-consensus site
P08808707A0631|170 186|PEA3-mediated gene
P10517672A1417|168 183|NF1-like proteins
P08030239A0833|167 181|EHV-1 tk promoter
P11738404A0120|179 191|1 alpha,2 alpha
P07704040A0000|171 182|DT diaphorase
P08065310A1144|168 179|receptor gene
P08496601A1153|165 175|muMIP-1 beta
P11114294A0075|170 178|CFTR) gene
P10209031A0832|164 171|zeta ITAM
P09763470A1756|166 172|DBH gene
P09312025A0373|171 178|p85alpha
P02320999A0606|167 172|m-2 h-1
P01394200A0592|166 171|CD45RO
P11560992A0000|169 173|SAPKs
P09652736A1205|164 168|E2F-1
P09426068A0826|166 170|c-myc
P07914192A0844|172 175|HER2
P07616569A0168|165 168|atp6
P09235618A0000|170 172|IgM
P07080496A0097|172 174|LDL
P10209119A0076|169 171|Cdk
P09535892A0000|166 167|WD
P07537736A0453|166 192|cytokine receptor superfamily
P11406277A0598|167 191|parent Hlx promoter sequence
P09445488A1169|168 180|DNA binding/EF
P10607566A0880|166 177|beta-catenin
P10400712A0577|165 175|GS sequences
P04032349A0000|168 178|Plasminogen
P01901946A0243|166 176|DNA-protein
P08208540A1114|171 178|NFKB2 p52
P09182707A0254|171 178|paxillin
P09248639A0152|165 172|collagen
P07487908A0230|170 173|Rat 2
P10400757A1498|166 170|CXCR4
P09024793A1325|162 166|BMP-2
P08761480A0331|167 171|v-Src
P11158337A0000|171 174|GRAS
P09096958A0000|169 172|TD77
P01431380A0244|164 167|SFGR
P11441974A0320|161 164|l(-1
P09533030T0000|168 171|SDHD
P09000108A0330|168 171|CG30
P11278819A0565|164 167|MOK2
P08106369A0000|171 173|V1b
P07629196A0274|167 169|JNK
P10369418A0644|165 167|p50
P09234717A0000|167 169|SH3
P02437895A0000|166 167|LH
P03690262A0428|165 166|T4
P10713176A0422|167 168|Rb
P08615025A1214|169 170|V3
P02666404A0220|171 205|rat brain and liver glucose transporters
P09422727A0196|169 199|activating transcription factor-2
P01572549A0000|168 188|growth factor receptors
P09852005A1287|168 186|serum response factor
P09305755A0540|168 185|activator proteins 1
P10860846A0480|166 180|HGF gene promoter
P09442072A0716|161 174|murine fVII gene
P10752475A1376|168 178|Fc-receptor
P07656588A0101|168 176|FUT2 genes
P10488148A1267|169 176|HIV-1 LTR
P09420239A1937|165 172|Sp1 sites
P07609079A0387|167 171|TFIIB
P11238447A0524|170 174|nup62
P11059777A0813|174 178|BCL-X
P11238105A0959|170 174|Jak-2
P07797077A0842|168 172|ICSBP
P02758382A0478|171 174|SHBG
P08647086A0720|166 169|Cdk2
P09582953A0000|176 179|F.IX
P08550476A0610|164 167|EpiQ
P09280747A0195|169 171|ACE
P11327698A0191|168 170|Sp1
P01779433A0694|164 166|Alu
P10574913A1108|177 179|ERK
P09144165A0614|162 189|Rel transcription factor family
P08769132A0000|166 192|Sacchromyces cerevisiae MSH-1
P08075070A1632|168 186|DNA-binding proteins
P11221845A0800|166 183|NH2-terminal region
